subclone_1,subclone_2,total_tumor,days
428.1512542493952,37.67063997541065,465.8218942248059,324
427.2558959739935,37.63476484500319,464.8906608189967,325
426.40312861235304,37.60201297090656,464.0051415832596,326
425.5920856633228,37.572329847167815,463.1644155104906,327
424.82191729846977,37.545661805188836,462.3675791036586,328
424.09179036207877,37.5219560137263,461.6137463758051,329
423.40088837115235,37.5011604788917,460.902048850044,330
422.748411515411,37.48322404415132,460.23163555956233,331
422.1335766572931,37.46809639032627,459.60167304761933,332
421.55561733195464,37.455728035592436,459.01134536754705,333
421.01378374726977,37.44607033548054,458.4598540827503,334
420.5073427838303,37.4390754828761,457.9464182667064,335
420.0355779949459,37.434696508019435,457.47027450296537,336
419.59778960664414,37.432887278505675,457.03067688514983,337
419.1932945176704,37.43360249928475,456.6268970169551,338
418.82142629948777,37.43679771266141,456.2582240121492,339
418.4815351962775,37.442429298295195,455.9239644945727,340
418.17298812493846,37.450454473200466,455.6234425981389,341
417.89516867508735,37.46083129174637,455.35599996683374,342
417.64747710905885,37.47351864565689,455.12099575471575,343
417.42933036190533,37.488476264010785,454.9178066259161,344
